                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.79633,                0.39298,                0.83157,                0.79277,                 0.5589,                0.63861,                0.43867,                0.74753,                0.35188,                0.81233,              0.0059212,              0.0059212,              0.0059212
                    105,                0.79571,                0.39045,                0.83273,                0.79356,                0.55875,                0.63918,                0.43877,                0.74711,                0.35165,                0.81229,              0.0058816,              0.0058816,              0.0058816
                    106,                0.79108,                 0.3896,                0.83157,                0.79172,                0.55991,                0.63962,                0.43931,                0.74634,                0.35115,                0.81213,               0.005842,               0.005842,               0.005842
                    107,                0.79479,                0.39077,                0.83349,                0.79391,                0.56005,                0.63976,                0.43955,                0.74559,                0.35076,                0.81205,              0.0058024,              0.0058024,              0.0058024
                    108,                0.78787,                0.38693,                0.83181,                0.79329,                0.56063,                0.64027,                0.43981,                0.74577,                0.35099,                0.81198,              0.0057628,              0.0057628,              0.0057628
                    109,                  0.788,                0.38891,                 0.8318,                0.79516,                0.55991,                0.64027,                0.44012,                0.74499,                0.35077,                 0.8119,              0.0057232,              0.0057232,              0.0057232
                    110,                0.78952,                0.38703,                0.83072,                 0.7945,                0.56043,                0.64035,                0.44064,                0.74423,                0.35024,                0.81182,              0.0056836,              0.0056836,              0.0056836
                    111,                 0.7846,                0.38674,                0.83181,                0.79548,                0.56036,                0.64058,                0.44087,                0.74389,                0.35025,                0.81176,               0.005644,               0.005644,               0.005644
                    112,                0.78932,                0.38816,                0.83099,                0.79545,                0.56139,                0.64143,                0.44139,                0.74341,                0.35015,                0.81174,              0.0056044,              0.0056044,              0.0056044
                    113,                0.78604,                0.38596,                 0.8313,                0.79438,                0.56133,                0.64092,                0.44112,                0.74301,                 0.3501,                 0.8117,              0.0055648,              0.0055648,              0.0055648
                    114,                0.78318,                0.38426,                0.83035,                 0.7934,                0.56204,                0.64136,                0.44138,                0.74277,                0.34983,                0.81161,              0.0055252,              0.0055252,              0.0055252
                    115,                0.78287,                0.38524,                0.83166,                0.79463,                 0.5615,                0.64147,                0.44161,                0.74227,                0.34952,                0.81153,              0.0054856,              0.0054856,              0.0054856
                    116,                0.78523,                 0.3857,                0.83014,                0.79331,                0.56226,                0.64186,                0.44197,                0.74192,                0.34926,                0.81147,               0.005446,               0.005446,               0.005446
                    117,                0.77891,                0.38192,                 0.8294,                0.79422,                0.56213,                0.64192,                0.44254,                0.74132,                0.34907,                0.81144,              0.0054064,              0.0054064,              0.0054064
                    118,                 0.7816,                0.38249,                0.83153,                0.79371,                0.56208,                0.64193,                0.44256,                0.74138,                 0.3491,                0.81139,              0.0053668,              0.0053668,              0.0053668
                    119,                 0.7788,                0.38059,                0.82996,                0.79333,                0.56227,                0.64187,                 0.4425,                0.74118,                0.34886,                0.81136,              0.0053272,              0.0053272,              0.0053272
                    120,                0.77437,                0.38019,                0.82941,                0.79331,                 0.5625,                0.64198,                0.44268,                0.74085,                0.34891,                0.81126,              0.0052876,              0.0052876,              0.0052876
                    121,                0.77777,                0.38056,                0.82995,                0.79447,                0.56256,                0.64219,                0.44281,                0.74063,                0.34862,                 0.8112,               0.005248,               0.005248,               0.005248
